State,District,Pop_Density,Lat,Long,Population
Delhi,Delhi,11000,28.612721,77.231253,553561000
AP,Anantapur,213,14.681888,77.600591,4083315
AP,Chittor,275,13.217176,79.100329,4170468
AP,East Godavari,477,17.32125,82.040714,5151549
AP,Guntur,429,16.306652,80.43654,4889230
AP,Krishna,519,16.609991,80.721442,4529009
AP,Kurnool,229,15.828126,78.037279,4046601
AP,Nellore,227,14.442599,79.986456,2966082
AP,Prakasam,193,15.348463,79.560344,3392764
AP,Srikakulam,462,18.296975,83.896781,2699471
AP,Visakhapatnam,340,17.686816,83.218482,4288113
AP,West Godavari,490,16.917418,81.339941,3934782
AP,Kadapa,188,14.467354,78.824134,2884524
Arunachal Pradesh,Tawan,19,27.578068,91.875742,49950
Arunachal Pradesh,West Kameng,10,27.342763,92.302446,87013
Arunachal Pradesh,East  Kameng,14,27.423126,93.017571,78413
Arunachal Pradesh,Papum Pare,42,27.171902,93.7029,176385
Arunachal Pradesh,Kurung Kumey,10,27.799536,93.553841,89717
Arunachal Pradesh,Lower Subansiri,24,27.616935,93.839156,82839
Arunachal Pradesh,Upper subansiri,11.83233788,27.786802,94.335963,83205
Arunachal Pradesh,West Siang,12,28.147254,94.748452,112272
Arunachal Pradesh,East Siang,22,28.109705,95.143207,99019
Arunachal Pradesh,Siang,35,28.109705,95.143207,123645
Arunachal Pradesh,Lower Dibang Valley,14,28.142873,95.843102,53986
Arunachal Pradesh,Upper Dibang Valley,1,28.812877,96.152699,7948
Arunachal Pradesh,Anjaw,3,27.742176,96.642433,21089
Arunachal Pradesh,Lohit,13,27.903965,96.173912,145538
Arunachal Pradesh,Namsai,23,27.669211,95.864402,102546
Arunachal Pradesh,Changlang,27,27.742176,96.642433,147951
Arunachal Pradesh,Tirap,42,26.99427,95.54073,111997
Arunachal Pradesh,Longding,37,26.872816,95.305748,135246
Arunachal Pradesh,Kamle,65,28.217999,94.727753,22256
Assam,Baksa,398,26.693545,91.598396,953773
Assam,Barpeta,506,26.330421,91.004055,1693190
Assam,Biswanath,530,26.726663,93.147851,580000
Assam,Bongaigaon,425,26.500999,90.535236,2060550
Assam,Cachar,381,24.782125,92.85771,1736319
Assam,Chirang,328,26.653905,90.63937,481818
Assam,Darrang,432,26.452288,92.027319,908090
